date_utc,asset,close_binance,close_kraken,close_coinbase
2026-01-23,BTC,89600.26,89495.0,89474.93
2026-01-24,BTC,89225.34,89079.6,89082.17
2026-01-25,BTC,86670.36,86572.3,86561.94
2026-01-26,BTC,88347.08,88247.4,88250.01
2026-01-27,BTC,89250.0,89124.1,89116.96
2026-01-28,BTC,89299.99,89159.6,89162.4
2026-01-29,BTC,84650.16,84515.1,84513.2
2026-01-30,BTC,84260.49,84124.7,84110.99
2026-01-31,BTC,78741.09,78648.4,78648.0
2026-02-01,BTC,76968.21,76882.2,76895.53
2026-02-02,BTC,78738.61,78669.2,78666.85
2026-02-03,BTC,75770.21,75662.0,75661.49
2026-02-04,BTC,73165.83,73013.6,72998.0
2026-02-05,BTC,62909.86,62858.1,62791.0
2026-02-06,BTC,70580.26,70527.4,70527.7
2026-02-07,BTC,69289.38,69268.8,69244.74
2026-02-08,BTC,70330.38,70305.0,70279.33
2026-02-09,BTC,70138.0,70087.2,70101.99
2026-02-10,BTC,68841.29,68785.5,68803.65
2026-02-11,BTC,67082.52,67052.3,67024.93
2026-02-12,BTC,66272.17,66203.8,66208.0
2026-02-13,BTC,68853.96,68837.0,68812.0
2026-02-14,BTC,69822.95,69758.4,69786.96
2026-02-15,BTC,68832.58,68780.0,68792.0
2026-02-16,BTC,68892.43,68860.0,68858.13
2026-02-17,BTC,67356.0,67227.2,67466.7
2024-02-28,ETH,3383.1,3385.53,3386.64
2024-02-29,ETH,3340.09,3342.6,3341.78
2024-03-01,ETH,3433.43,3436.26,3436.0
2024-03-02,ETH,3421.4,3421.49,3424.04
2024-03-03,ETH,3487.81,3489.54,3489.53
2024-03-04,ETH,3627.76,3631.23,3633.23
2024-03-05,ETH,3553.65,3560.01,3557.41
2024-03-06,ETH,3818.59,3817.95,3821.82
2024-03-07,ETH,3868.76,3872.54,3875.28
2024-03-08,ETH,3883.36,3892.23,3892.6
2024-03-09,ETH,3905.21,3914.01,3913.55
2024-03-10,ETH,3878.47,3880.98,3881.96
2024-03-11,ETH,4064.8,4065.29,4066.21
2024-03-12,ETH,3979.96,3980.4,3980.34
2024-03-13,ETH,4004.79,4007.21,4007.7
2024-03-14,ETH,3881.7,3880.78,3880.45
2024-03-15,ETH,3742.19,3738.0,3742.95
2024-03-16,ETH,3523.09,3520.27,3520.1
2024-03-17,ETH,3644.71,3642.62,3641.02
2024-03-18,ETH,3520.46,3518.43,3520.66
2024-03-19,ETH,3158.64,3162.42,3156.97
2024-03-20,ETH,3516.53,3515.43,3516.68
2024-03-21,ETH,3492.85,3492.49,3491.78
2024-03-22,ETH,3336.35,3335.09,3337.41
2024-03-23,ETH,3329.53,3332.7,3330.05
2024-03-24,ETH,3454.98,3454.03,3454.67
2024-03-25,ETH,3590.42,3591.3,3591.02
2024-03-26,ETH,3587.33,3587.04,3587.67
2024-03-27,ETH,3501.19,3498.52,3499.56
2024-03-28,ETH,3560.49,3562.69,3561.1
2024-03-29,ETH,3509.74,3511.68,3511.08
2024-03-30,ETH,3505.64,3508.28,3507.51
2024-03-31,ETH,3645.29,3647.72,3645.48
2024-04-01,ETH,3503.8,3505.48,3505.85
2024-04-02,ETH,3278.96,3278.03,3279.64
2024-04-03,ETH,3310.83,3312.28,3312.43
2024-04-04,ETH,3327.4,3329.56,3329.39
2024-04-05,ETH,3317.85,3320.55,3319.26
2024-04-06,ETH,3351.59,3354.95,3352.66
2024-04-07,ETH,3454.2,3454.03,3453.67
2024-04-08,ETH,3694.61,3694.38,3694.56
2024-04-09,ETH,3506.39,3505.69,3504.58
2024-04-10,ETH,3545.64,3543.42,3546.0
2024-04-11,ETH,3502.52,3505.25,3503.06
2024-04-12,ETH,3237.43,3240.1,3239.31
2024-04-13,ETH,3007.01,3013.12,3011.39
2024-04-14,ETH,3155.11,3155.99,3158.06
2024-04-15,ETH,3101.99,3101.38,3103.13
2024-04-16,ETH,3084.22,3084.92,3085.25
2024-04-17,ETH,2985.41,2985.4,2984.98
2024-04-18,ETH,3064.4,3064.51,3065.82
2024-04-19,ETH,3056.46,3058.52,3057.93
2024-04-20,ETH,3155.79,3157.67,3157.01
2024-04-21,ETH,3147.67,3148.05,3148.1
2024-04-22,ETH,3200.2,3202.0,3201.46
2024-04-23,ETH,3219.46,3220.02,3219.49
2024-04-24,ETH,3140.8,3138.84,3138.91
2024-04-25,ETH,3155.8,3155.68,3155.36
2024-04-26,ETH,3131.3,3129.96,3130.0
2024-04-27,ETH,3255.56,3252.62,3253.04
2024-04-28,ETH,3263.45,3262.02,3262.6
2024-04-29,ETH,3216.73,3216.18,3215.53
2024-04-30,ETH,3014.05,3010.62,3011.4
2024-05-01,ETH,2972.46,2970.02,2968.12
2024-05-02,ETH,2986.19,2987.85,2986.32
2024-05-03,ETH,3102.61,3104.77,3103.27
2024-05-04,ETH,3117.23,3117.78,3117.41
2024-05-05,ETH,3136.41,3137.54,3136.95
2024-05-06,ETH,3062.6,3063.02,3062.69
2024-05-07,ETH,3005.69,3005.14,3005.78
2024-05-08,ETH,2974.21,2972.86,2972.82
2024-05-09,ETH,3036.23,3036.25,3035.92
2024-05-10,ETH,2909.99,2909.56,2909.43
2024-05-11,ETH,2912.45,2910.11,2911.75
2024-05-12,ETH,2929.29,2929.17,2927.75
2024-05-13,ETH,2950.99,2948.99,2950.21
2024-05-14,ETH,2881.93,2881.49,2880.4
2024-05-15,ETH,3032.55,3033.23,3033.2
2024-05-16,ETH,2944.7,2944.48,2945.11
2024-05-17,ETH,3092.01,3093.54,3093.39
2024-05-18,ETH,3122.94,3121.37,3123.99
2024-05-19,ETH,3071.19,3071.79,3070.9
2024-05-20,ETH,3661.78,3661.3,3661.52
2024-05-21,ETH,3789.6,3789.23,3789.37
2024-05-22,ETH,3737.73,3736.82,3735.99
2024-05-23,ETH,3783.61,3780.86,3780.83
2024-05-24,ETH,3728.28,3726.37,3726.89
2024-05-25,ETH,3749.26,3749.32,3749.06
